name,v_nom,x,y,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,Pd,Qd,Gs,Bs,area,v_ang_set,zone,BusName
1,138.0,-157.939889,21.344246,0.9935453,0.9,1.1,PQ,0.0,0.0,0.0,0.0,1.0,-1.119907,1.0,ALOHA138
2,69.0,-157.939889,21.344246,1.0,0.9,1.1,PV,60.7,0.0,0.0,0.0,1.0,-3.927372,1.0,ALOHA69
3,69.0,-157.876274,21.347927,0.9845477,0.9,1.1,PQ,59.39,0.0,0.0,0.0,1.0,-4.731145,1.0,FLOWER69
4,69.0,-157.848767,21.293143,0.9787999,0.9,1.1,PQ,22.47,0.0,0.0,0.0,1.0,-5.74587,1.0,WAVE69
5,138.0,-157.845053,21.316548,0.9889847,0.9,1.1,PQ,0.0,0.0,0.0,0.0,1.0,-2.069792,1.0,HONOLULU138
6,69.0,-157.845053,21.316548,0.9812064,0.9,1.1,PQ,27.46,0.0,0.0,0.0,1.0,-5.52816,1.0,HONOLULU69
7,69.0,-157.826869,21.291518,0.9805826,0.9,1.1,PQ,37.01,0.0,0.0,0.0,1.0,-5.671337,1.0,SURF69
8,69.0,-157.824227,21.451733,0.9786187,0.9,1.1,PQ,65.1,0.0,0.0,0.0,1.0,-5.702381,1.0,KANEOHE69
9,138.0,-157.822444,21.273462,0.9867678,0.9,1.1,PQ,0.0,0.0,0.0,0.0,1.0,-2.548359,1.0,TURTLE138
10,69.0,-157.822444,21.273462,0.980941,0.9,1.1,PQ,37.76,0.0,0.0,0.0,1.0,-5.65196,1.0,TURTLE69
11,69.0,-157.821663,21.35548,0.9749115,0.9,1.1,PQ,65.55,0.0,0.0,0.0,1.0,-6.522955,1.0,MAHALO69
12,69.0,-157.810758,21.32021,0.9773269,0.9,1.1,PQ,54.01,0.0,0.0,0.0,1.0,-6.198354,1.0,LYCHEE69
13,69.0,-157.788328,21.290612,0.978953,0.9,1.1,PQ,59.24,0.0,0.0,0.0,1.0,-6.094816,1.0,COCONUT69
14,138.0,-157.758188,21.395084,0.9837641,0.9,1.1,PQ,0.0,0.0,0.0,0.0,1.0,-3.136205,1.0,KAILUA138
15,69.0,-157.758188,21.395084,0.9786311,0.9,1.1,PQ,60.9,0.0,0.0,0.0,1.0,-6.029763,1.0,KAILUA69
16,69.0,-157.750269,21.311063,0.9821866,0.9,1.1,PQ,23.83,0.0,0.0,32.0,1.0,-6.456032,1.0,PALM69
17,69.0,-157.710924,21.335013,0.9754957,0.9,1.1,PQ,12.04,0.0,0.0,0.0,1.0,-6.981904,1.0,WAIMANALO69
18,69.0,-157.688748,21.294518,0.9759604,0.9,1.1,PQ,36.32,0.0,0.0,0.0,1.0,-7.12115,1.0,VOLCANO69
19,69.0,-157.936867,21.417374,0.991304,0.9,1.1,PQ,48.6,0.0,0.0,0.0,1.0,-3.514221,1.0,PEARL CITY69
20,69.0,-157.934221,21.482531,0.9896603,0.9,1.1,PQ,64.95,0.0,0.0,0.0,1.0,-1.963951,1.0,MILILANI69
21,69.0,-157.884952,21.406053,0.9799422,0.9,1.1,PQ,48.34,0.0,0.0,0.0,1.0,-5.268157,1.0,AIEA69
22,138.0,-157.983838,21.417469,0.9963974,0.9,1.1,PQ,0.0,0.0,0.0,0.0,1.0,-0.844548,1.0,WAIPAHU138
23,69.0,-157.983838,21.417469,1.0,0.9,1.1,Slack,86.75,0.0,0.0,0.0,1.0,-2.106015,1.0,WAIPAHU69
24,69.0,-158.082206,21.363106,0.993402,0.9,1.1,PQ,46.58,0.0,0.0,0.0,1.0,-3.706851,1.0,KAPOLEI69
25,138.0,-158.022282,21.344756,0.9966141,0.9,1.1,PQ,0.0,0.0,0.0,0.0,1.0,-0.528763,1.0,EWA BEACH138
26,69.0,-158.022282,21.344756,1.0,0.9,1.1,PV,75.28,0.0,0.0,0.0,1.0,-3.596866,1.0,EWA BEACH69
27,69.0,-157.978792,21.658692,1.0,0.9,1.1,PV,3.95,0.0,0.0,0.0,1.0,1.362694,1.0,KAHUKU69
28,69.0,-158.048011,21.621367,1.0,0.9,1.1,PV,8.82,0.0,0.0,0.0,1.0,0.234055,1.0,HALEIWA69
29,69.0,-157.943953,21.618479,0.9953834,0.9,1.1,PQ,7.7,0.0,0.0,0.0,1.0,-0.097274,1.0,LAIE69
30,69.0,-157.979384,21.57139,0.9957983,0.9,1.1,PQ,49.03,0.0,0.0,0.0,1.0,-0.422344,1.0,WAHIAWA69
31,69.0,-158.185151,21.56364,0.995215,0.9,1.1,PQ,9.62,0.0,0.0,0.0,1.0,-2.101776,1.0,WAIALUA69
32,69.0,-157.905396,21.55775,0.9912167,0.9,1.1,PQ,6.67,0.0,0.0,0.0,1.0,-1.321157,1.0,HAUULA69
33,69.0,-158.166919,21.468626,1.0,0.9,1.1,PV,58.22,0.0,0.0,0.0,1.0,-3.050368,1.0,WAIANAE69
34,69.0,-158.0581,21.4785,1.0,0.9,1.1,PV,0.0,0.0,0.0,0.0,1.0,-2.084231,1.0,SCHOFIELD69
35,138.0,-158.106528,21.303419,1.0,0.9,1.1,PV,0.0,0.0,0.0,0.0,1.0,0.37639,1.0,KALAELOA138
36,69.0,-158.113889,21.311667,1.0,0.9,1.1,PV,0.0,0.0,0.0,0.0,1.0,-3.565242,1.0,COGEN69
37,138.0,-158.128853,21.356395,1.0,0.9,1.1,PV,0.0,0.0,0.0,0.0,1.0,0.25143,1.0,KAHE138
