name,bus0,bus1,ckt,branch_name,bus0_name,bus1_name,x,r,b,s_nom,conductor,MOT,v_ang_min,v_ang_max,status,original_index
L0,1,5,1,ALOHA138 (1)  TO  HONOLULU138 (5) CKT 1,ALOHA138,HONOLULU138,3.9826717200000004,0.647496,4.44234404536862e-05,228,795 ACSR 26/7 DRAKE,80,0.0,0.0,1.0,3
L1,1,5,2,ALOHA138 (1)  TO  HONOLULU138 (5) CKT 2,ALOHA138,HONOLULU138,3.9826717200000004,0.647496,4.44234404536862e-05,228,795 ACSR 26/7 DRAKE,80,0.0,0.0,1.0,4
L2,1,22,1,ALOHA138 (1)  TO  WAIPAHU138 (22) CKT 1,ALOHA138,WAIPAHU138,4.6035061200000005,0.7122455999999999,3.176853602184415e-05,172,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,5
L3,1,25,1,ALOHA138 (1)  TO  EWA BEACH138 (25) CKT 1,ALOHA138,EWA BEACH138,3.0085711199999996,0.5503716000000001,4.048519218651544e-05,215,795 ACSR 26/7 DRAKE,85,0.0,0.0,1.0,6
L4,1,25,2,ALOHA138 (1)  TO  EWA BEACH138 (25) CKT 2,ALOHA138,EWA BEACH138,3.0085711199999996,0.5503716000000001,4.048519218651544e-05,215,795 ACSR 26/7 DRAKE,85,0.0,0.0,1.0,7
L5,1,35,1,ALOHA138 (1)  TO  KALAELOA138 (35) CKT 1,ALOHA138,KALAELOA138,7.98362568,2.0567520000000004,6.742281033396346e-05,278,1272 ACSR 45/7 BITTERN,75,0.0,0.0,1.0,8
L6,1,35,2,ALOHA138 (1)  TO  KALAELOA138 (35) CKT 2,ALOHA138,KALAELOA138,7.98362568,2.0567520000000004,6.742281033396346e-05,278,1272 ACSR 45/7 BITTERN,75,0.0,0.0,1.0,9
L7,2,4,1,ALOHA69 (2)  TO  WAVE69 (4) CKT 1,ALOHA69 ,WAVE69,3.7781867699999996,2.0453256,5.398025624868725e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,10
L8,2,6,1,ALOHA69 (2)  TO  HONOLULU69 (6) CKT 1,ALOHA69 ,HONOLULU69,2.789946,1.2802329000000001,6.553245116572149e-05,76,336.4 ACSR 30/7 ORIOLE,95,0.0,0.0,1.0,11
L9,2,6,2,ALOHA69 (2)  TO  HONOLULU69 (6) CKT 2,ALOHA69 ,HONOLULU69,2.789946,1.2802329000000001,6.553245116572149e-05,76,336.4 ACSR 30/7 ORIOLE,95,0.0,0.0,1.0,12
L10,2,7,1,ALOHA69 (2)  TO  SURF69 (7) CKT 1,ALOHA69,SURF69,3.6036485099999997,1.3111794,7.918504515858013e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,13
L11,2,21,1,ALOHA69 (2)  TO  AIEA69 (21) CKT 1,ALOHA69,AIEA69,3.68201457,1.7358606,3.633690401176223e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,14
L12,2,23,1,ALOHA69 (2)  TO  WAIPAHU69 (23) CKT 1,ALOHA69,WAIPAHU69,3.8578383,1.5530382,3.7807183364839316e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,15
L13,2,23,2,ALOHA69 (2)  TO  WAIPAHU69 (23) CKT 2,ALOHA69,WAIPAHU69,3.8578383,1.5530382,3.7807183364839316e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,16
L14,2,23,3,ALOHA69 (2)  TO  WAIPAHU69 (23) CKT 3,ALOHA69,WAIPAHU69,3.8578383,1.5530382,3.7807183364839316e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,17
L15,2,26,1,ALOHA69 (2)  TO  EWA BEACH69 (26) CKT 1,ALOHA69, EWA BEACH69,3.1477827599999997,1.4516289,3.906742281033396e-05,63,336.4 ACSR 30/7 ORIOLE,75,0.0,0.0,1.0,18
L16,2,26,2,ALOHA69 (2)  TO  EWA BEACH69 (26) CKT 2,ALOHA69, EWA BEACH69,3.1477827599999997,1.4516289,3.906742281033396e-05,63,336.4 ACSR 30/7 ORIOLE,75,0.0,0.0,1.0,19
L17,3,6,1,FLOWER69 (3)  TO  HONOLULU69 (6) CKT 1,FLOWER69,HONOLULU69,1.7468109,0.7036758000000001,2.1844150388573827e-05,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,20
